drug_id,name,pubchem_id,drugbank_id,kegg_id,note
"PA166048654","ustekinumab","","","D09214","PubChem not found; DrugBank not found"
"PA166170051","valbenazine","24795069","DB11915","D10675",""
"PA451846","valproic acid","","","D00399","PubChem not found; DrugBank not found"
"PA166118341","vandetanib","3081361","DB05294","D06407",""
"PA10229","vardenafil","135400189","DB00862","D02731",""
"PA166115366","velaglucerase alfa","","","D09029","PubChem not found; DrugBank not found"
"PA165946873","vemurafenib","42611257","DB08881","D09996",""
"PA166153473","venetoclax","49846579","DB11581","D10679",""
"PA451866","venlafaxine","5656","DB00285","D00821",""
"PA166184233","vernakalant","9930049","DB06217","D06665",""
"PA451879","vincristine","5978","","D02197","DrugBank not found"
"PA164713397","Vitamin B-complex with vitamin C","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA451898","vitamin c","","","D00069","PubChem not found; DrugBank not found"
"PA166122595","vortioxetine","9966051","DB09068","D10184",""
"PA451906","warfarin","54678486","DB00682","D00564",""
"PA166184503","zidovudine / lamivudine / abacavir","","","","PubChem not found; DrugBank not found; KEGG not found"
"PA451978","zonisamide","5734","DB00909","D00538",""
"PA452629","zuclopenthixol","5311507","DB01624","D03556",""
